Phone_ID,Brand,Model,Release_Year,Price_USD,Price_INR,RAM_GB,Storage_GB,Processor,Chipset,GPU,Battery_mAh,Charging_Watts,Wireless_Charging,Display_Size_Inches,Resolution,Refresh_Rate_Hz,Display_Type,Rear_Camera_MP,Front_Camera_MP,Number_of_Rear_Cameras,Video_Recording,Operating_System,OS_Version,SIM_Type,Has_5G,Has_NFC,Bluetooth_Version,WiFi_Standard,Fingerprint_Type,Water_Resistance,Weight_Grams,Color,User_Rating,Number_of_Reviews
PH-563192,Huawei,Mate 60 Pro,2026,984,81672,12,512,Exynos 2400,Exynos 2400,Mali-G710 MC10,5211,100,Yes,6.7,1440x3200,144,AMOLED,12,20,2,4K@60fps,Android,13,Dual SIM,Yes,Yes,5.1,Wi-Fi 7,Side-mounted,IP68,197,Titanium,4.4,18413
PH-477545,Huawei,Mate 60 Pro,2026,668,55444,12,256,Snapdragon 8+ Gen 1,Exynos 2400,Xclipse 920,5212,80,Yes,6.3,1560x3120,120,OLED,50,20,4,8K@30fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.4,Wi-Fi 6,Rear-mounted,IP68,170,Blue,4.3,6125
PH-981571,Huawei,Mate 60 Pro,2026,656,54448,12,256,MediaTek Dimensity 9200+,Snapdragon 8 Gen 2,Adreno 740,4759,80,Yes,6.2,1560x3120,120,AMOLED,48,12,2,8K@24fps,Android,13,Dual SIM,Yes,Yes,5.0,Wi-Fi 7,Side-mounted,IP52,162,Silver,4.6,7611
PH-747252,Huawei,Mate XT,2024,671,55693,12,512,Snapdragon 8 Gen 2,Snapdragon 8+ Gen 1,Mali-G710 MC10,5319,45,Yes,6.7,1290x2796,144,AMOLED,50,16,3,4K@120fps,Android,14,Dual SIM (Nano-SIM),Yes,Yes,5.3,Wi-Fi 6,Under-display,IP68,166,Graphite,4.5,1883
PH-754234,Huawei,Mate XT,2026,629,52207,16,256,Exynos 2400,Exynos 2400,Immortalis-G720,4818,67,Yes,6.5,1290x2796,120,AMOLED,48,12,3,8K@30fps,Android,15,Dual SIM,Yes,Yes,5.0,Wi-Fi 6,None,IP68,168,Titanium,4.3,30361
PH-283073,Huawei,Nova 12,2026,657,54531,12,256,Snapdragon 8+ Gen 1,Tensor G3,Mali-G710 MC10,5173,67,Yes,6.7,1440x3200,144,AMOLED,50,12,3,4K@60fps,Android,15,Dual SIM (Nano-SIM),Yes,Yes,5.3,Wi-Fi 7,Rear-mounted,IP54,176,Gold,4.6,14063
PH-859666,Huawei,Mate XT,2026,994,82502,8,256,Google Tensor G3,Dimensity 9200+,Mali-G710 MC10,4576,80,Yes,6.3,1290x2796,120,LTPO AMOLED,48,12,3,8K@24fps,Android,13,Single SIM,Yes,Yes,5.0,Wi-Fi 5,Rear-mounted,IP52,178,Gray,4.5,15410
PH-775398,Huawei,Nova 12,2026,733,60839,8,256,Google Tensor G3,Tensor G3,Adreno 735,5373,67,Yes,6.6,1560x3120,144,AMOLED,50,20,2,4K@120fps,Android,15,Dual SIM,Yes,Yes,5.1,Wi-Fi 7,Under-display,IP52,180,Green,4.3,9898
PH-208055,Huawei,Pura 70,2025,788,65404,16,512,Snapdragon 8+ Gen 1,Tensor G3,Immortalis-G720,4507,100,Yes,6.4,1560x3120,144,LTPO AMOLED,48,16,3,8K@24fps,Android,14,Dual SIM,Yes,Yes,5.1,Wi-Fi 6,Under-display,IP67,204,Titanium,4.2,24619
PH-775797,Huawei,Nova 12,2025,841,69803,8,512,Exynos 2400,Exynos 2400,Xclipse 920,4903,100,Yes,6.7,1440x3200,120,LTPO AMOLED,108,12,4,8K@30fps,Android,13,Dual SIM,Yes,Yes,5.1,Wi-Fi 6E,Rear-mounted,IP68,176,Midnight,4.5,32266
PH-927951,Huawei,Mate XT,2026,678,56274,8,512,Exynos 2400,Snapdragon 8 Gen 2,Xclipse 920,4785,100,Yes,6.3,1290x2796,144,AMOLED,50,20,3,8K@24fps,Android,13,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.0,Wi-Fi 7,None,IP52,162,Gold,4.2,24499
PH-925340,Huawei,Nova 12,2024,933,77439,8,512,Exynos 2400,Dimensity 9200+,Immortalis-G720,4687,67,Yes,6.3,1290x2796,120,OLED,50,8,3,4K@120fps,Android,13,Dual SIM (Nano-SIM),Yes,Yes,5.1,Wi-Fi 5,Side-mounted,IP68,203,Red,4.6,2108
PH-388626,Huawei,Mate XT,2026,847,70301,8,512,Exynos 2400,Snapdragon 8+ Gen 1,Adreno 740,4685,67,Yes,6.6,1290x2796,144,AMOLED,50,20,4,4K@120fps,Android,15,Dual SIM,Yes,Yes,5.0,Wi-Fi 6,None,None,196,Purple,4.6,26422
PH-244344,Huawei,P60 Pro,2026,710,58930,8,256,Google Tensor G3,Exynos 2400,Adreno 740,4609,100,Yes,6.2,1290x2796,120,OLED,64,12,2,4K@120fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.4,Wi-Fi 6E,Rear-mounted,IP54,171,Red,4.3,41612
PH-926229,Huawei,Nova 12,2026,819,67977,8,256,MediaTek Dimensity 9200+,Exynos 2400,Adreno 735,5378,80,Yes,6.4,1290x2796,144,LTPO AMOLED,50,16,2,8K@30fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.3,Wi-Fi 6,Rear-mounted,None,178,Silver,4.3,2841
PH-316198,Huawei,P60 Pro,2026,777,64491,12,512,Google Tensor G3,Snapdragon 8 Gen 2,Immortalis-G720,4718,80,Yes,6.2,1440x3200,120,LTPO AMOLED,48,8,4,4K@120fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.0,Wi-Fi 6E,None,IP67,172,Gold,4.3,25500
PH-461513,Huawei,Nova 12,2025,930,77190,16,256,Google Tensor G3,Dimensity 9200+,Adreno 735,4650,67,Yes,6.5,1290x2796,120,AMOLED,50,20,3,4K@120fps,Android,15,Dual SIM,Yes,Yes,5.0,Wi-Fi 7,Under-display,IP68,184,Silver,4.5,29640
PH-117834,Huawei,Nova 12,2026,983,81589,8,256,MediaTek Dimensity 9200+,Tensor G3,Immortalis-G720,5422,45,Yes,6.3,1290x2796,144,AMOLED,50,16,4,4K@120fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.3,Wi-Fi 7,None,IP52,196,Gray,4.4,28595
PH-969470,Huawei,Pura 70,2024,937,77771,8,256,Exynos 2400,Exynos 2400,Adreno 740,5427,80,Yes,6.6,1560x3120,120,AMOLED,108,8,3,4K@60fps,Android,15,Single SIM,Yes,Yes,5.0,Wi-Fi 7,Side-mounted,IP68,197,Black,4.5,42120
PH-990940,Huawei,Mate XT,2025,954,79182,8,512,Snapdragon 8+ Gen 1,Dimensity 9200+,Adreno 735,5155,80,Yes,6.7,1440x3200,144,OLED,108,8,2,8K@30fps,Android,14,Single SIM,Yes,Yes,5.3,Wi-Fi 7,Under-display,None,191,Graphite,4.4,1703
PH-883017,Huawei,Nova 12,2026,607,50381,16,256,MediaTek Dimensity 9200+,Snapdragon 8 Gen 2,Mali-G710 MC10,5286,45,Yes,6.2,1290x2796,144,LTPO AMOLED,12,12,2,8K@30fps,Android,14,Single SIM,Yes,Yes,5.4,Wi-Fi 6,None,IP54,178,Purple,4.3,19810
PH-594541,Huawei,P60 Pro,2024,984,81672,12,256,Snapdragon 8 Gen 2,Tensor G3,Xclipse 920,4909,45,Yes,6.7,1560x3120,120,AMOLED,64,20,2,8K@30fps,Android,13,Dual SIM (Nano-SIM),Yes,Yes,5.2,Wi-Fi 6E,Rear-mounted,IP52,201,Blue,4.4,13759
PH-601769,Huawei,Nova 12,2026,954,79182,12,256,Snapdragon 8+ Gen 1,Snapdragon 8+ Gen 1,Xclipse 920,5048,67,Yes,6.2,1440x3200,120,OLED,64,12,4,4K@60fps,Android,15,Dual SIM (Nano-SIM),Yes,Yes,5.1,Wi-Fi 6,Under-display,IP52,166,Midnight,4.6,42412
