Phone_ID,Brand,Model,Release_Year,Price_USD,Price_INR,RAM_GB,Storage_GB,Processor,Chipset,GPU,Battery_mAh,Charging_Watts,Wireless_Charging,Display_Size_Inches,Resolution,Refresh_Rate_Hz,Display_Type,Rear_Camera_MP,Front_Camera_MP,Number_of_Rear_Cameras,Video_Recording,Operating_System,OS_Version,SIM_Type,Has_5G,Has_NFC,Bluetooth_Version,WiFi_Standard,Fingerprint_Type,Water_Resistance,Weight_Grams,Color,User_Rating,Number_of_Reviews
PH-250539,Vivo,Vivo X100 Pro,2026,1772,147076,24,512,MediaTek Dimensity 9400,Exynos 2500,Immortalis-G925,6174,80,Yes,6.7,1800x3200,120,OLED,108,16,2,8K@24fps,Android,14,Single SIM,Yes,Yes,5.0,Wi-Fi 6E,None,IP68,174,Black,4.6,2619
PH-421041,Vivo,Vivo X100 Pro,2026,1457,120931,12,1024,Apple A18 Pro,Exynos 2500,Apple GPU (6-core),5800,80,Yes,6.7,1800x3200,120,LTPO AMOLED,48,20,2,8K@30fps,Android,14,Dual SIM,Yes,Yes,5.3,Wi-Fi 6,Rear-mounted,None,160,Silver,4.6,29859
PH-347079,Vivo,Vivo V40 Pro,2024,1266,105078,12,256,Google Tensor G4,Snapdragon 8 Gen 3,Mali-G715 MC7,6834,100,Yes,6.5,1290x2796,144,OLED,12,16,2,8K@30fps,Android,13,Single SIM,Yes,Yes,5.4,Wi-Fi 7,Side-mounted,IP52,173,White,5.0,45370
PH-120565,Vivo,Vivo V30,2024,1372,113876,12,256,Snapdragon 8 Gen 3,Exynos 2500,Mali-G715 MC7,6563,80,Yes,6.8,1440x3200,120,Super AMOLED,12,20,2,8K@24fps,Android,15,Dual SIM (Nano-SIM),Yes,Yes,5.4,Wi-Fi 7,Rear-mounted,IP67,202,Gold,4.7,43962
PH-417904,Vivo,Vivo V30e,2025,1450,120350,12,512,MediaTek Dimensity 9400,Tensor G4,Immortalis-G925,5799,150,Yes,6.6,1440x3120,144,Super AMOLED,50,8,2,8K@30fps,Android,13,Dual SIM (Nano-SIM),Yes,Yes,5.1,Wi-Fi 7,None,IP67,173,Titanium,4.8,18315
PH-244302,Vivo,Vivo V30e,2024,1059,87897,16,512,Exynos 2500,A17 Pro,Immortalis-G925,6255,100,Yes,6.5,1800x3200,120,AMOLED,50,20,3,8K@24fps,Android,15,Single SIM,Yes,Yes,5.0,Wi-Fi 6,Rear-mounted,IP52,167,Midnight,4.8,38649
PH-357303,Vivo,Vivo X100 Pro,2026,1150,95450,12,512,Exynos 2500,A18 Pro,Immortalis-G925,6545,80,Yes,7.2,1440x3120,144,OLED,64,20,2,4K@60fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.2,Wi-Fi 6E,Under-display,IP68,171,Purple,4.8,23353
PH-414597,Vivo,Vivo V40 Pro,2026,1353,112299,24,256,Google Tensor G4,A17 Pro,Mali-G715 MC7,6384,150,Yes,7.1,1290x2796,144,AMOLED,50,12,4,8K@30fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.3,Wi-Fi 5,Side-mounted,IP68,164,Graphite,4.8,1555
PH-432235,Vivo,Vivo X100,2024,1790,148570,24,512,Google Tensor G4,Tensor G4,Apple GPU (5-core),5723,100,Yes,7.0,1440x3200,120,Super AMOLED,12,16,2,4K@60fps,Android,13,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.0,Wi-Fi 7,Under-display,None,181,Green,5.0,523
PH-963662,Vivo,Vivo Y18,2025,1657,137531,24,256,Apple A18 Pro,Snapdragon 8 Gen 3,Apple GPU (6-core),5239,100,Yes,7.0,1440x3200,120,AMOLED,64,20,3,4K@60fps,Android,14,Dual SIM (Nano-SIM),Yes,Yes,5.1,Wi-Fi 6E,Under-display,IP68,191,Gold,4.9,8226
PH-870117,Vivo,Vivo Y18,2025,1085,90055,24,512,Snapdragon 8 Gen 3,Exynos 2500,Apple GPU (5-core),6191,150,Yes,6.3,1800x3200,120,LTPO AMOLED,50,20,3,8K@30fps,Android,13,Single SIM,Yes,Yes,5.1,Wi-Fi 5,Under-display,IP67,192,Gold,4.5,40194
PH-691071,Vivo,Vivo V40 Pro,2025,1257,104331,16,1024,Exynos 2500,Exynos 2500,Apple GPU (6-core),6956,80,Yes,7.2,1800x3200,120,Super AMOLED,12,8,2,8K@24fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.0,Wi-Fi 5,None,None,178,Silver,4.5,22935
PH-120967,Vivo,Vivo V40 Pro,2025,1634,135622,16,512,Snapdragon 8 Gen 3,Tensor G4,Mali-G715 MC7,5388,80,Yes,6.8,1800x3200,120,Super AMOLED,50,8,2,4K@120fps,Android,15,Dual SIM,Yes,Yes,5.2,Wi-Fi 6E,Side-mounted,IP68,156,Purple,4.5,16666
PH-887702,Vivo,Vivo X100,2026,1393,115619,24,1024,Snapdragon 8 Gen 3,A17 Pro,Apple GPU (6-core),6416,80,Yes,6.9,1290x2796,144,LTPO AMOLED,108,8,3,8K@30fps,Android,13,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.4,Wi-Fi 6E,Rear-mounted,None,162,Midnight,4.6,21588
PH-661712,Vivo,Vivo V30,2024,1454,120682,12,256,Apple A18 Pro,A18 Pro,Immortalis-G925,6474,100,Yes,7.2,1800x3200,120,OLED,64,12,4,4K@120fps,Android,14,Dual SIM (Nano-SIM),Yes,Yes,5.2,Wi-Fi 5,Side-mounted,IP68,158,Green,4.5,32043
PH-411565,Vivo,Vivo V40 Pro,2024,1776,147408,24,256,Exynos 2500,A18 Pro,Adreno 750,6979,150,Yes,6.5,1290x2796,144,AMOLED,48,16,3,4K@120fps,Android,14,Single SIM,Yes,Yes,5.1,Wi-Fi 7,Under-display,IP67,163,Silver,4.8,45121
PH-370629,Vivo,Vivo X100 Pro,2024,1429,118607,16,1024,Apple A17 Pro,Snapdragon 8 Gen 3,Immortalis-G925,6065,150,Yes,7.2,1440x3120,120,LTPO AMOLED,64,16,4,8K@24fps,Android,15,Dual SIM,Yes,Yes,5.1,Wi-Fi 6,Rear-mounted,IP68,160,White,4.5,14409
PH-599970,Vivo,Vivo Y18,2026,1729,143507,16,1024,Snapdragon 8 Gen 3,Exynos 2500,Apple GPU (6-core),6005,150,Yes,6.6,1800x3200,120,AMOLED,48,16,2,4K@60fps,Android,13,Single SIM,Yes,Yes,5.4,Wi-Fi 7,Under-display,None,161,Midnight,4.9,24450
PH-905477,Vivo,Vivo V30e,2024,1099,91217,12,256,Google Tensor G4,A17 Pro,Immortalis-G925,5642,150,Yes,7.0,1290x2796,120,Super AMOLED,108,20,4,4K@120fps,Android,15,Dual SIM,Yes,Yes,5.4,Wi-Fi 7,Rear-mounted,IP52,184,Silver,4.5,46523
PH-774522,Vivo,Vivo V30,2025,1253,103999,24,512,MediaTek Dimensity 9400,Tensor G4,Immortalis-G925,6425,80,Yes,6.8,1440x3120,144,AMOLED,12,20,2,8K@24fps,Android,14,Single SIM,Yes,Yes,5.1,Wi-Fi 6E,Under-display,None,181,Black,4.5,39542
PH-185683,Vivo,Vivo Y18,2025,1388,115204,24,256,Exynos 2500,Tensor G4,Adreno 750,6045,80,Yes,6.6,1290x2796,144,AMOLED,12,20,2,4K@120fps,Android,15,Dual SIM (Nano-SIM),Yes,Yes,5.3,Wi-Fi 7,Rear-mounted,IP52,179,Blue,4.4,27801
PH-605915,Vivo,Vivo V40 Pro,2026,1365,113295,12,512,MediaTek Dimensity 9400,Tensor G4,Immortalis-G925,6645,80,Yes,6.6,1290x2796,120,LTPO AMOLED,108,16,3,4K@120fps,Android,13,Dual SIM (Nano-SIM),Yes,Yes,5.4,Wi-Fi 6,Under-display,IP54,182,Black,4.5,38933
PH-962396,Vivo,Vivo V30,2025,1581,131223,12,512,Apple A17 Pro,Tensor G4,Mali-G715 MC7,5874,100,Yes,6.7,1800x3200,144,LTPO AMOLED,50,16,2,4K@120fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.4,Wi-Fi 7,Under-display,None,192,Titanium,4.9,9822
