Phone_ID,Brand,Model,Release_Year,Price_USD,Price_INR,RAM_GB,Storage_GB,Processor,Chipset,GPU,Battery_mAh,Charging_Watts,Wireless_Charging,Display_Size_Inches,Resolution,Refresh_Rate_Hz,Display_Type,Rear_Camera_MP,Front_Camera_MP,Number_of_Rear_Cameras,Video_Recording,Operating_System,OS_Version,SIM_Type,Has_5G,Has_NFC,Bluetooth_Version,WiFi_Standard,Fingerprint_Type,Water_Resistance,Weight_Grams,Color,User_Rating,Number_of_Reviews
PH-151185,OnePlus,OnePlus 13,2023,308,25564,12,128,Dimensity 8300 Ultra,Dimensity 8300 Ultra,Mali-G610 MC6,4066,45,Yes,6.4,1440x3200,120,AMOLED,48,8,3,8K@24fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.0,Wi-Fi 6,None,IP52,178,Graphite,4.1,18567
PH-674101,OnePlus,OnePlus 12R,2023,434,36022,6,128,Snapdragon 7s Gen 2,Exynos 1380,Adreno 725,4117,45,Yes,6.9,1440x3200,120,Super AMOLED,12,12,2,8K@24fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.1,Wi-Fi 7,Under-display,IP67,166,Purple,4.4,6392
PH-510756,OnePlus,OnePlus 11R,2023,569,47227,8,128,Snapdragon 7s Gen 2,Exynos 1380,Mali-G610 MC6,4450,80,No,6.2,1080x2520,90,AMOLED,50,8,3,8K@24fps,Android,14,Dual SIM (Nano-SIM),Yes,Yes,5.3,Wi-Fi 7,Under-display,None,179,Titanium,4.2,32550
PH-826859,OnePlus,OnePlus 11R,2023,493,40919,12,512,MediaTek Dimensity 7200,Snapdragon 7 Gen 3,Mali-G610 MC6,4321,45,Yes,6.4,1080x2520,120,AMOLED,12,16,2,8K@24fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.3,Wi-Fi 5,Under-display,IP67,168,White,4.0,43217
PH-486885,OnePlus,OnePlus Open,2025,352,29216,6,256,Exynos 1380,Snapdragon 7 Gen 3,Mali-G610 MC6,5057,80,Yes,6.3,1440x3200,90,AMOLED,48,20,4,4K@120fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,No,5.4,Wi-Fi 5,None,IP54,191,Purple,4.2,5442
PH-442239,OnePlus,OnePlus 11R,2024,582,48306,12,256,Snapdragon 7s Gen 2,Exynos 1380,Mali-G615 MC2,4577,67,No,6.4,1080x2400,90,OLED,12,12,2,8K@24fps,Android,13,Dual SIM (Nano-SIM/eSIM),Yes,No,5.0,Wi-Fi 6E,Rear-mounted,IP52,181,Silver,4.4,4838
PH-978285,OnePlus,Nord CE 3 Lite,2023,494,41002,12,128,Exynos 1380,Dimensity 8300 Ultra,Adreno 725,4779,80,Yes,6.6,1080x2400,90,OLED,12,16,2,8K@24fps,Android,13,Dual SIM,Yes,No,5.0,Wi-Fi 6,Rear-mounted,IP68,203,Gray,4.5,44347
PH-728356,OnePlus,OnePlus 11R,2025,586,48638,8,256,Snapdragon 7 Gen 3,Dimensity 7200,Adreno 725,5130,80,No,6.7,1080x2400,120,Super AMOLED,12,8,2,4K@120fps,Android,13,Dual SIM (Nano-SIM),Yes,No,5.0,Wi-Fi 6,Under-display,IP67,179,Gray,4.2,7601
PH-566547,OnePlus,OnePlus Open,2024,319,26477,8,256,Exynos 1380,Dimensity 8300 Ultra,Mali-G615 MC2,5028,67,No,6.5,1080x2400,120,AMOLED,12,12,2,4K@60fps,Android,14,Dual SIM (Nano-SIM),Yes,Yes,5.3,Wi-Fi 6E,Rear-mounted,IP68,194,Blue,4.1,10002
PH-579959,OnePlus,OnePlus 12,2025,532,44156,8,128,Exynos 1380,Dimensity 8300 Ultra,Adreno 725,4548,45,Yes,6.4,1080x2400,120,Super AMOLED,48,8,4,8K@30fps,Android,14,Dual SIM (Nano-SIM),Yes,Yes,5.0,Wi-Fi 6,None,IP67,204,White,4.4,292
PH-973941,OnePlus,OnePlus 12R,2023,530,43990,6,256,Snapdragon 7 Gen 3,Snapdragon 7 Gen 3,Adreno 725,4718,45,Yes,6.9,1440x3200,90,Super AMOLED,64,16,3,8K@24fps,Android,13,Single SIM,Yes,Yes,5.2,Wi-Fi 6,None,IP52,190,Purple,4.1,18925
PH-122353,OnePlus,Nord CE 3 Lite,2024,504,41832,8,512,MediaTek Dimensity 7200,Dimensity 8300 Ultra,Adreno 725,4950,80,Yes,6.4,1080x2400,120,AMOLED,64,20,2,4K@60fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.1,Wi-Fi 7,Rear-mounted,None,198,Midnight,4.0,39037
PH-306853,OnePlus,OnePlus 11R,2024,356,29548,12,128,Snapdragon 7 Gen 3,Snapdragon 7s Gen 2,Adreno 732,4151,67,No,6.3,1080x2400,120,OLED,50,16,4,8K@24fps,Android,14,Dual SIM (Nano-SIM),Yes,No,5.1,Wi-Fi 6,Under-display,None,182,Midnight,4.4,43499
PH-692072,OnePlus,OnePlus 13,2025,382,31706,8,256,Snapdragon 7 Gen 3,Snapdragon 7s Gen 2,Mali-G615 MC2,4468,80,No,6.9,1440x3200,120,Super AMOLED,108,12,3,8K@24fps,Android,14,Single SIM,Yes,No,5.3,Wi-Fi 5,None,IP68,179,Silver,4.2,6810
PH-576504,OnePlus,OnePlus 11R,2024,379,31457,8,512,MediaTek Dimensity 7200,Exynos 1380,Mali-G610 MC6,4559,80,No,6.5,1440x3200,90,OLED,64,20,4,4K@60fps,Android,14,Dual SIM,Yes,Yes,5.1,Wi-Fi 6E,Under-display,IP52,198,Green,4.2,39918
PH-509486,OnePlus,OnePlus 12R,2024,486,40338,6,256,Snapdragon 7 Gen 3,Dimensity 8300 Ultra,Mali-G610 MC6,5145,80,Yes,6.3,1080x2400,90,OLED,64,12,3,4K@120fps,Android,14,Dual SIM (Nano-SIM),Yes,Yes,5.3,Wi-Fi 6,None,IP52,203,White,4.1,19406
PH-794809,OnePlus,OnePlus 13,2024,418,34694,8,128,MediaTek Dimensity 7200,Snapdragon 7s Gen 2,Adreno 732,4486,67,No,6.7,1440x3200,120,AMOLED,12,16,2,4K@60fps,Android,15,Single SIM,Yes,Yes,5.3,Wi-Fi 5,Side-mounted,IP52,190,Gray,4.6,5266
PH-921844,OnePlus,Nord CE 3 Lite,2023,337,27971,8,256,Exynos 1380,Exynos 1380,Adreno 725,4850,45,No,6.8,1080x2400,120,AMOLED,48,8,2,8K@30fps,Android,15,Single SIM,Yes,Yes,5.4,Wi-Fi 6E,None,None,181,Titanium,4.6,3367
PH-901281,OnePlus,OnePlus 13,2024,400,33200,8,128,MediaTek Dimensity 7200,Dimensity 8300 Ultra,Adreno 732,4446,45,No,6.2,1440x3200,120,OLED,64,8,4,8K@30fps,Android,13,Dual SIM,Yes,Yes,5.4,Wi-Fi 6,Under-display,IP52,208,Purple,4.5,13990
PH-887116,OnePlus,Nord CE 3 Lite,2025,362,30046,8,256,Dimensity 8300 Ultra,Exynos 1380,Mali-G610 MC6,4984,67,No,6.2,1440x3200,90,OLED,48,16,4,4K@60fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,No,5.3,Wi-Fi 6E,Side-mounted,IP54,177,Blue,4.2,14777
PH-919517,OnePlus,OnePlus Open,2025,416,34528,12,512,MediaTek Dimensity 7200,Dimensity 8300 Ultra,Mali-G615 MC2,4367,67,Yes,6.3,1440x3200,90,OLED,108,16,2,8K@30fps,Android,14,Single SIM,Yes,Yes,5.4,Wi-Fi 7,Rear-mounted,IP67,171,Midnight,4.1,44823
PH-645507,OnePlus,OnePlus 12,2025,577,47891,12,256,Snapdragon 7s Gen 2,Snapdragon 7 Gen 3,Mali-G615 MC2,4890,80,No,6.3,1440x3200,90,Super AMOLED,12,16,2,8K@24fps,Android,14,Dual SIM,Yes,Yes,5.2,Wi-Fi 6E,Rear-mounted,None,179,Gray,4.1,43258
PH-919708,OnePlus,OnePlus 13,2025,385,31955,8,512,Snapdragon 7 Gen 3,Snapdragon 7s Gen 2,Immortalis-G715,4986,80,No,6.5,1080x2520,90,AMOLED,48,8,3,8K@30fps,Android,15,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.3,Wi-Fi 5,Under-display,IP54,201,Silver,4.1,21243
PH-633431,OnePlus,OnePlus 12,2025,463,38429,6,128,MediaTek Dimensity 7200,Exynos 1380,Adreno 732,4705,80,Yes,6.6,1440x3200,120,OLED,50,16,2,8K@30fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,No,5.2,Wi-Fi 5,Side-mounted,IP52,194,Green,4.6,44273
PH-327091,OnePlus,OnePlus 12R,2023,570,47310,6,512,Exynos 1380,Snapdragon 7s Gen 2,Mali-G610 MC6,4871,45,Yes,6.9,1080x2400,120,AMOLED,12,8,2,4K@60fps,Android,14,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.1,Wi-Fi 5,Under-display,None,171,Blue,4.1,41184
PH-365023,OnePlus,OnePlus 13,2023,414,34362,12,256,Dimensity 8300 Ultra,Snapdragon 7s Gen 2,Adreno 732,4350,45,No,6.2,1080x2520,120,Super AMOLED,48,12,2,8K@24fps,Android,13,Dual SIM,Yes,No,5.0,Wi-Fi 7,Side-mounted,None,175,Midnight,4.4,9036
PH-671232,OnePlus,OnePlus 12R,2025,382,31706,6,256,Snapdragon 7s Gen 2,Snapdragon 7s Gen 2,Adreno 732,5003,80,Yes,6.7,1440x3200,90,AMOLED,12,8,2,4K@120fps,Android,13,Dual SIM,Yes,Yes,5.4,Wi-Fi 5,Rear-mounted,None,169,Midnight,4.1,46540
PH-235159,OnePlus,OnePlus 11R,2023,324,26892,6,512,Exynos 1380,Dimensity 7200,Adreno 725,4026,45,No,6.5,1080x2400,120,Super AMOLED,50,12,4,4K@120fps,Android,13,Dual SIM (Nano-SIM/eSIM),Yes,No,5.2,Wi-Fi 6,Side-mounted,IP68,180,Titanium,4.2,9286
PH-990682,OnePlus,OnePlus Open,2025,502,41666,6,256,MediaTek Dimensity 7200,Snapdragon 7 Gen 3,Adreno 732,4452,45,Yes,6.5,1080x2520,120,OLED,50,8,2,8K@24fps,Android,13,Dual SIM (Nano-SIM/eSIM),Yes,Yes,5.3,Wi-Fi 6E,None,IP52,208,Black,4.2,44952
